legal and political feasibility,法律與政治可行性
output device,輸出設備
output control,輸出控制
packet,封包;分封
packet filtering,封包過濾
packet switching,分封交換(技術)
paint program,畫圖程式
PAN,個人區域網路(英文簡稱)
parallel port,平行埠
partner relationship management,夥伴關係管理
patch management,修補管理
PB,千兆位元組(縮寫)
patent right,專利權
PC game,(個人)電腦遊戲
PCI Express,周邊元件互聯快捷(擴充槽)
peer-to-peer,點對點(對等)式
peer,同輩:對等
peer-to-peer network,點對點(對等)式網路
percent format,百分比格式
peripheral component interconnect,周邊元件互聯(擴充槽)
peripheral device,周邊設備
peripheral port,周邊(設備的)連接埠
personal area network,個人區域網路
personal digital assistant,個人數位助理
personal information management,個人資訊管理
personalization,個人化
PERT chart,PERT
petabyte,千兆位元組
phased,階段性的;分階段實行的
phased approach,階段性方法:分階段實行的
photo-manipulation program,照片處理程式
picosecond,皮秒
picture,圖片
picture box,圖片方塊
PIM,個人資訊管理(英文簡稱)
pinned item list,固定項目清單
pivot,樞紐;在樞軸上轉動的;關鍵的
PKI,公開金鑰基礎建設(英文簡稱)
planning,規劃
platform as a service,平臺即服務
plotter,繪圖機
plug and play,隨插即用
point,點:一種尺寸單位
point of sale,銷售時點(管理)
pointing device,定位裝置;指向設備
point-to-point tunneling protocol,點對點通道協定
policy,政策
polymorphism,多型
